precursor,fragment,ion,standard_ion,CTRL_p1_1,CTRL_p1_2,CTRL_p1_3,Lyso0min_p1_1,Lyso0min_p1_2,Lyso0min_p1_3,Lyso10min_p1_1,Lyso10min_p1_2,Lyso10min_p1_3,Lyso20min_p1_1,Lyso20min_p1_2,Lyso20min_p1_3,Lyso5min_p1_1,Lyso5min_p1_2,Lyso5min_p1_3
760.59,184.105,PC34:1,DLPC,256798.555,247658.4,218332.7,246393.585,216082.815,234310.04,208990.24,246315.535,246188.04,241681.96,214102.74,230593.43,279181.685,240170.43,246955.205
760.62,619.635,PE(O-)38:1,PE31:1,281.75,270.47,269.685,310.765,282.345,286.775,309.745,280.25,293.54,336.685,297.18,307.19,341.51,325.595,304.535
762.6,184.105,PC34:0,DLPC,15707.255,15636.965,13397.695,16376.19,13308.225,14653.875,12944.5,15374.45,15294.52,14132.81,15458.72,14078.04,17571.16,14552.84,15370.79
762.64,621.655,PE(O-)38:0,PE31:1,445.855,481.02,417.935,561.05,530.22,574.465,611.795,535.195,615.12,584.91,576.63,497.33,620.645,650.455,577.305
764.52,623.535,PE38:6,PE31:1,5159.535,5292.995,4684.445,5474.785,4916.645,5305.49,5105.45,5096.7,5528.16,5370.065,4748.9,4911.17,5875.98,5716.335,5560.56
764.56,184.105,PC(O-)36:6,DLPC,381.965,378.49,346.775,426.575,327.185,361.395,326.035,363.925,396.64,392.47,336.42,374.24,433.415,356.47,373.625
766.54,625.555,PE38:5,PE31:1,8459.62,8510.94,7873.44,9553.4,7813.135,8854.755,8120.46,8295.3,9229.39,9257.945,8840.89,8550.04,9711.775,9261.73,8702.915
766.58,184.105,PC(O-)36:5,DLPC,1392.01,1446.835,1178.83,1267.98,1147.81,1260.955,1157.45,1358.145,1252.1,1367.475,1421.54,1291.81,1545.035,1370.42,1351.535
768.55,627.575,PE38:4,PE31:1,7788.665,7172.115,7184.53,8506.02,6565.62,6971.96,7129.135,7407.88,8276.2,8253.41,7674.78,7518.05,9097.805,7701.75,7514.33
768.59,184.105,PC(O-)36:4,DLPC,3244.245,3396.315,2772.43,3167.62,2854.755,3104.995,2840.36,3339.55,3175.18,3365.895,3143.34,3205.84,3835.415,3251.125,3266.945
770.57,629.585,PE38:3,PE31:1,1847.56,1720.17,1693.885,2169.395,1663.8,1771.935,1794.72,1728.635,2091.03,2023.225,2068.59,1901.26,2157.245,1841.175,1809.905
770.61,184.105,PC(O-)36:3,DLPC,3530.135,3724.895,3157.505,3549.665,3050.315,3402.78,3065.435,3804.765,3574.08,3722.995,3640.13,3498.99,4199.595,3669.33,3621.38
772.59,631.605,PE38:2,PE31:1,1858.86,1584.52,1659.3,2153.21,1598.405,1541.775,1677.365,1578.14,1954.48,2266.375,1940.69,2087.46,2124.225,1787.92,1663.135
772.62,184.105,PC(O-)36:2,DLPC,14626.705,15040.265,12782.675,15805.485,13030.24,14345.12,12974.075,16423.215,15673.56,15882.685,15733.51,14771.35,17508.495,15308.305,15445.28
774.6,633.615,PE38:1,PE31:1,365.79,322.18,387.945,482.1,345.72,356.59,394.055,327.87,454.22,488.11,367.67,429.73,467.115,382.82,359.465
774.64,184.105,PC(O-)36:1,DLPC,8063.615,7832.355,7061.24,8601.82,7083.39,7560.48,6998.08,8553.32,8051.04,9014.36,6930.76,8031.85,9389.715,8001.4,8266.53
776.62,635.635,PE38:0,PE31:1,124.86,125.8,117.235,140.61,110.105,120.765,129.86,127.175,142.46,167.54,127.08,135.05,142.19,131.03,135.855
776.65,184.105,PC(O-)36:0,DLPC,944.435,876.66,927.95,1001.645,766.155,855.175,830.905,914.765,909.26,977.31,867.02,939.86,1076.565,939.53,902.295
778.54,184.105,PC36:6,DLPC,237.48,251.005,219.995,240.535,191.615,214.27,193.83,207.245,197.72,204.13,162.42,209.17,253.875,215.885,208.19
778.58,637.595,PE(O-)40:6,PE31:1,334.805,350.825,314.31,420.93,312.45,333.995,384.325,337.49,392.45,427.62,389.05,343.22,407.51,371.51,365.145
