precursor,fragment,ion,standard_ion,CTRL_n1_1,CTRL_n1_2,CTRL_n1_3,Lyso0min_n1_1,Lyso0min_n1_2,Lyso0min_n1_3,Lyso10min_n1_1,Lyso10min_n1_2,Lyso10min_n1_3,Lyso20min_n1_1,Lyso20min_n1_2,Lyso20min_n1_3,Lyso5min_n1_1,Lyso5min_n1_2,Lyso5min_n1_3
734.98,279.265,CL72:11_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734.98,303.265,CL72:11_C20:4,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734.98,327.265,CL72:11_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735.99,253.255,CL74:10_C16:1,CL56:0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735.99,255.265,CL74:10_C16:0,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735.99,279.265,CL74:10_C18:2,CL56:0,0,0,0.775,0,0.275,0,0,0,0,0,0,0,0,0,0
735.99,281.285,CL74:10_C18:1,CL56:0,0.76,0,0.295,0,0.485,0,0,1.025,0,0.915,0,0,0,0.58,0.33
735.99,303.265,CL74:10_C20:4,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735.99,305.285,CL74:10_C20:3,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735.99,327.265,CL74:10_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736.46,649.455,PS(O-)34:6,PS31:1,7.39,4.39,6.39,5.645,4.845,5.92,3.205,3.715,5.11,3.645,5.09,3.23,3.845,6.99,4.07
736.99,279.265,CL74:9_C18:2,CL56:0,0.71,0.27,0.63,0,0,0,0,0,0.345,0,0,0,0.905,0.455,0.865
736.99,281.285,CL74:9_C18:1,CL56:0,3.65,4.84,4.84,2.89,4.82,3.525,4.15,4,4.4,3.325,3.165,2.605,5.26,3.505,3.04
736.99,303.265,CL74:9_C20:4,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736.99,305.285,CL74:9_C20:3,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,279.265,CL74:8_C18:2,CL56:0,0.915,1.8,0.88,0.54,0.39,0.365,0.405,0.695,0,0,0,0.82,1.16,0.845,0.395
738,307.295,CL74:8_C20:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738.47,651.475,PS(O-)34:5,PS31:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739.01,279.265,CL74:7_C18:2,CL56:0,1.705,2.9,1.11,1.265,0.965,0.38,1.16,1.235,0.7,0.805,0,0.345,0.765,2.24,0.985
739.01,281.285,CL74:7_C18:1,CL56:0,10.35,9.39,9.625,10.265,10.645,8.285,10.025,9.58,10.925,9.505,10.67,8.695,10.17,9.28,7.615
739.01,307.295,CL74:7_C20:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739.01,309.315,CL74:7_C20:1,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740.02,279.265,CL74:6_C18:2,CL56:0,1.415,1.665,0.93,0,0,0,0,0,0,0,0,0,0,0,0
740.02,281.285,CL74:6_C18:1,CL56:0,13.15,9.12,9.49,9.96,7.19,8.375,10.07,9.815,6.555,9.1,9.545,7.905,9.31,10.175,9.725
740.02,307.295,CL74:6_C20:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740.02,309.315,CL74:6_C20:1,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740.49,653.485,PS(O-)34:4,PS31:1,376.91,270.88,326.28,328.335,440.17,352.13,392.175,410.95,416.41,414.895,377.83,410.145,357.775,392.055,387.53
741.03,279.265,CL74:5_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741.03,281.285,CL74:5_C18:1,CL56:0,1.91,1.125,1.26,0,0,0.23,1.45,0.935,1.025,0.375,0.82,0.765,1.075,1.08,0.965
741.03,309.315,CL74:5_C20:1,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741.36,241.045,PI28:6,PI31:1,4.93,7.805,6.79,7.165,6.86,6.09,5.195,7.38,8.82,12.38,6.685,6.87,11.32,9.555,9.665
742.5,655.505,PS(O-)34:3,PS31:1,19.515,14.485,15.065,13.425,20.765,18.395,19.24,20.295,21.68,17.575,16.885,20.54,16.765,21.42,22.01
743.38,241.045,PI28:5,PI31:1,0.995,6,2.405,1.43,0.86,2.61,1.36,1.42,1.045,1.52,2.715,1.88,1.955,1.145,1.675
744.52,657.525,PS(O-)34:2,PS31:1,27.38,26.68,27.095,24.225,25.475,28.8,35.64,25.605,27.19,30.725,30.545,24.195,31.625,31.98,32.02
745.39,241.045,PI28:4,PI31:1,1.055,6.39,2.07,2.77,0.925,2.105,0.69,0.81,0.69,3.64,0.96,1.895,0.695,0.515,1.245
746.53,659.535,PS(O-)34:1,PS31:1,594.52,563.875,506.165,559.325,527.97,523.34,572.845,528.41,552.39,586.875,599.93,554.635,601.17,559.575,536.54
747.41,241.045,PI28:3,PI31:1,5.44,9.535,9.41,8.075,7,6.3,8.17,6.27,7.815,7.335,4.375,7.365,6.335,8.155,7.705
747.99,279.265,CL76:12_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747.99,327.265,CL76:12_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748.55,661.555,PS(O-)34:0,PS31:1,99.505,94.315,95.015,102.08,91.565,85.85,92.755,86.79,96.77,111.965,91.385,95.48,122.745,97.915,87.885
